"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta1[52]",2188.75119366832,2061.46,1854.26880591084,7539.1,0.95,639.417,4017.54,NA,NA,NA,NA,NA,NA,NA
"beta0mu",58961.3752312384,58955.7,59188.0010659882,11878.7,0.95,54525,63138.8,NA,NA,NA,NA,NA,NA,NA
"beta1mu",1767.58047507625,1770.37,1765.51941842794,6030,0.95,1220.74,2336.45,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",-0.660413150076846,-0.658317,-0.642042107275495,20001,0.95,-1.06867,-0.270027,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",1.07765351627419,1.077,1.0638713141697,20001,0.95,0.683707,1.47136,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.37230735636776,-0.372988,-0.371037203270076,20001,0.95,-0.766978,0.0173724,NA,NA,NA,NA,NA,NA,NA
"zbeta0[4]",-1.11620255672216,-1.11627,-1.10605254896874,20001,0.95,-1.50584,-0.729033,NA,NA,NA,NA,NA,NA,NA
"zbeta0[5]",0.247124268936347,0.247219,0.277630272251367,20001,0.95,-0.144688,0.617208,NA,NA,NA,NA,NA,NA,NA
"zbeta0[6]",0.386274783662642,0.385474,0.376463182065667,20595.5,0.95,0.00575548,0.762817,NA,NA,NA,NA,NA,NA,NA
"zbeta0[7]",1.50790606664667,1.50556,1.48443326964472,18625,0.95,1.06164,1.95403,NA,NA,NA,NA,NA,NA,NA
"zbeta0[8]",0.540420083721264,0.539843,0.560407901944014,20419.2,0.95,0.121567,0.9755,NA,NA,NA,NA,NA,NA,NA
"zbeta0[9]",-0.215578546454046,-0.224311,-0.25875332941545,17718.5,0.95,-0.750974,0.311279,NA,NA,NA,NA,NA,NA,NA
"zbeta0[10]",-0.262573439145218,-0.262123,-0.258214376478891,20001,0.95,-0.639701,0.113263,NA,NA,NA,NA,NA,NA,NA
"zbeta0[11]",-0.310794405971696,-0.312324,-0.305439688280134,20001,0.95,-0.705837,0.0536802,NA,NA,NA,NA,NA,NA,NA
"zbeta0[12]",1.27347553457327,1.27288,1.24069853540702,18991.9,0.95,0.836004,1.70781,NA,NA,NA,NA,NA,NA,NA
"zbeta0[13]",-0.618898433758812,-0.617557,-0.614423506909217,20001,0.95,-0.982459,-0.240234,NA,NA,NA,NA,NA,NA,NA
"zbeta0[14]",0.369245739796565,0.368726,0.338770665806052,20001,0.95,-0.0169313,0.757054,NA,NA,NA,NA,NA,NA,NA
"zbeta0[15]",-0.200957518350544,-0.201521,-0.197037758368238,20001,0.95,-0.581536,0.181504,NA,NA,NA,NA,NA,NA,NA
"zbeta0[16]",-0.168871992019159,-0.16944,-0.174161440696733,20001,0.95,-0.56115,0.249625,NA,NA,NA,NA,NA,NA,NA
"zbeta0[17]",-0.155486835220124,-0.155444,-0.153163028944043,20001,0.95,-0.563165,0.219465,NA,NA,NA,NA,NA,NA,NA
"zbeta0[18]",-0.616458356414679,-0.616602,-0.615863660066296,19503.5,0.95,-1.02119,-0.254008,NA,NA,NA,NA,NA,NA,NA
"zbeta0[19]",-0.609321988305085,-0.610458,-0.614107050823932,20001,0.95,-0.99468,-0.2084,NA,NA,NA,NA,NA,NA,NA
"zbeta0[20]",-0.166778359988636,-0.167529,-0.15333594904704,20001,0.95,-0.557582,0.223574,NA,NA,NA,NA,NA,NA,NA
"zbeta0[21]",1.57022282245888,1.57089,1.55032225567363,20001,0.95,1.16104,1.96745,NA,NA,NA,NA,NA,NA,NA
"zbeta0[22]",1.72132478491075,1.72416,1.74239945853063,19577.5,0.95,1.29134,2.15441,NA,NA,NA,NA,NA,NA,NA
"zbeta0[23]",-0.178907392324124,-0.179978,-0.17456180570339,19525.4,0.95,-0.600764,0.229591,NA,NA,NA,NA,NA,NA,NA
"zbeta0[24]",0.635969319294185,0.636202,0.633138315753632,20001,0.95,0.210043,1.07079,NA,NA,NA,NA,NA,NA,NA
"zbeta0[25]",-1.21648807104645,-1.21872,-1.24711841233027,20001,0.95,-1.61334,-0.826189,NA,NA,NA,NA,NA,NA,NA
"zbeta0[26]",-0.226364679517249,-0.22744,-0.225281938614537,19394.4,0.95,-0.625898,0.154337,NA,NA,NA,NA,NA,NA,NA
"zbeta0[27]",-0.39933774059702,-0.399751,-0.419674198324836,20001,0.95,-0.780402,-0.0170627,NA,NA,NA,NA,NA,NA,NA
"zbeta0[28]",-0.0206301958327334,-0.0208332,-0.0381485422674578,20001,0.95,-0.397562,0.368662,NA,NA,NA,NA,NA,NA,NA
"zbeta0[29]",0.123158986260507,0.122389,0.121597064894933,20001,0.95,-0.265552,0.519017,NA,NA,NA,NA,NA,NA,NA
"zbeta0[30]",1.26558577851107,1.26857,1.29788509085803,20001,0.95,0.844636,1.67653,NA,NA,NA,NA,NA,NA,NA
"zbeta0[31]",1.72485772036398,1.72703,1.73451080159602,20001,0.95,1.29369,2.13374,NA,NA,NA,NA,NA,NA,NA
"zbeta0[32]",-0.697128735412229,-0.698549,-0.724426802322262,20001,0.95,-1.07739,-0.340379,NA,NA,NA,NA,NA,NA,NA
"zbeta0[33]",0.494715254864872,0.495155,0.487842199411447,20001,0.95,0.108213,0.890945,NA,NA,NA,NA,NA,NA,NA
"zbeta0[34]",-0.565285223612819,-0.565642,-0.552180849851783,20001,0.95,-0.961173,-0.181706,NA,NA,NA,NA,NA,NA,NA
"zbeta0[35]",-0.198111373060707,-0.198255,-0.211787554597629,20001,0.95,-0.633022,0.230322,NA,NA,NA,NA,NA,NA,NA
"zbeta0[36]",-0.03684339865983,-0.0381327,-0.051822789782153,20755.5,0.95,-0.418764,0.347659,NA,NA,NA,NA,NA,NA,NA
"zbeta0[37]",-0.725722261754912,-0.723682,-0.702235022507712,21388,0.95,-1.1134,-0.355756,NA,NA,NA,NA,NA,NA,NA
